Team Number,Team Name,Region
5470,Montwood Rambotics,Texas West & Panhandle
5477,Innovo,New York Long Island
5481,Cerberus Robotics,Missouri
5484,The EnderBots,New York Excelsior
5485,GorillaBots,New York Excelsior
5488,Robo Dragons,Pennsylvania
5495,Iron Eagles,Illinois
5498,Cougarobotics Omega,California Southern
5501,VW Robotics,Ohio
5518,Dutchman's Derivatives,Connecticut
5543,Team X,Indiana
5549,Blue Shift,North Carolina
5553,RoboComets,Oklahoma
5559,Holmes RoboHawks,Michigan
5573,Payne Bots 5573,New Jersey
5598,The PIT Crew,Texas North
5604,Thunderbots,Washington
5618,Control Freaks RED,Michigan
5627,Robotics Quasar Alliance,Oregon
5628,The Tau Manifesto,Texas Central
5641,Red Devil Robotics,Michigan
5661,Wolves Robotics 1,Arizona
5667,Robominers,Utah
5681,Robo Pirates,Texas Central
5683,Midway Robotics,Texas Central
5703,Doppler Effect,Missouri
5709,Gators,Chesapeake
5710,Titans,Massachusetts
5713,Crusader Robotics,Minnesota
5741,CVU RoboHawks,Vermont
5754,Marburn Academy Marbotics,Ohio
5762,Midwest Robotics,Wyoming
5773,Ink and Metal,California Northern
5784,Mechanical Drop Bears,Australia
5795,Back  To The Drawing Board,North Carolina
5828,E.M.P. Chaos,California Southern
5843,AutoVortex,Romania
5881,Tungsteel,North Carolina
5891,Redneck Engineering,Texas West & Panhandle
5893,Direct Current,Missouri
5897,HackHers,Massachusetts
5898,Galactic Lions - Andromeda,Georgia
5899,L.A.S.E.R.,Colorado
5905,Camdenton FTC  LASER Middle School #1,Missouri
5906,Camdenton FTC LASER Middle School #2,Missouri
5907,Camdenton FTC LASER Middle School #3,Missouri
5911,Mean Green Machine,Texas West & Panhandle
5913,Drop It Like It's Bot,Iowa
5919,RegisOwls,New York City
5921,La Ca̱ada Engineering Club,California Southern
5953,Roarbotics,Washington
5954,Lightning Boltz,Michigan
5957,Sonic Eagles,Michigan
5960,Iron Dams,Michigan
5962,Nordic Storm,Minnesota
5968,WR That Hertz,New Jersey
5971,Brain Bots,Washington
5976,Brandon Tech,Michigan
5979,CyberStingers Blue,Georgia
5980,Titanium Tech Vikes,Michigan
6010,Thunder Stone,Chesapeake
6016,Ironwolves,California San Diego
6025,Error ID Ten-T,Iowa
6032,Lightning Hawks,Massachusetts
6037,W.A.G.S. (We Are Girl Scouts) Robotics,New Jersey
6038,Tino Koalas,California Northern
6040,Canton Robodogs,Massachusetts
6042,Commandobots,Oklahoma
6047,Twisted Axles,Georgia
6051,Quantum Mechanics,New York City
6055,GearTicks,Massachusetts
6069,Pingry Robotics,New Jersey
6072,Wildbot Robotics,Iowa
6073,MUS Robotics,Tennessee
6078,Cut the Red Wire,North Carolina
6079,Bionic Broncos,Michigan
6085,Electro/Mechanically Controlled Chaos,Ohio
6088,"Bolts, Nuts, and Bots",Montana
6093,Deviation From The Norm,Iowa
6101,Energized Hazard,New Jersey
6102,E=MK2,New Jersey
6103,Radiant Rivals,Iowa
6121,Cougarbots,Iowa
6128,The Dragons 1.0,Washington
6133,"The ""NUTS!""",Kentucky
6134,Black Frogs,Michigan
6147,Newbotics,Iowa
6155,Birdhouse Frogs,Michigan
6158,Spartabots,Chesapeake
6165,MSET CuttleFish,California Northern
6168,Maniacal Mechanics,Missouri
6169,System Surfers,Texas North
6174,Automatons,Arizona
6175,License To Shred,Hawaii
6183,Thunderducks,North Carolina
6184,MHS Tech Club,Ohio
6188,SiBorgs,Washington
6189,High Voltage,Iowa
6190,Red Alert: CyberStorm,Indiana
6198,Bread Admirers,Illinois
6199,Crash Test Dummies,Illinois
6200,Despicable Machine,Illinois
6205,SCARLET,Mississippi
6206,Ohms Olympians,Illinois
6209,ViperBots Venom,Texas Central
6210,ViperBots  Stryke,Texas Central
6220,DRIFT (Dinosaurs Racing in Food Trucks),Washington
6221,Panther Bots Alpha,Texas Central
6226,Bambusa,California San Diego
6252,The Wacky Waving Inflatable Arm Flailing Tube M...,Iowa
6255,RoboJackets,Michigan
6272,Iron Eagles Prime,Texas Central
6273,Technocats,Mississippi
6278,Dwayne,Georgia
6281,Genetic Advantage,Alaska
6282,Simi Valley Robotics,California Southern
6285,Statesbots - Black,Missouri
6286,Falcon Hi Flyers,California Northern
6294,Atomic Toads,Michigan
6298,Tech Titans,Ohio
6299,ViperBots QuadX,Texas Central
6302,Odyssey,Mississippi
6321,RoboRaiders,Florida
6322,WiredCats Origin,Florida
6323,The Pink Team,Florida
6325,Aluminati,California Southern
6340,Tech Titans,Iowa
6341,OOPS,Chesapeake
6347,Nerds of a Feather,New York Excelsior
6357,Top Dogs,California Northern
6366,T-Robots,Wyoming
6371,Machine Kings,California Southern
6372,Patriotic Robotics,California Southern
6373,SuperBots,California Southern
6378,JayBots,Pennsylvania
6382,Wizards Robotics 6382,Colorado
