Team Number,Team Name
20482,Wylie E. Robote
20483,Wall East
21987,The Cybirds: Talon
21988,The Cybirds: Claw
22418,RoboChargers - Red
22419,RoboChargers - Orange
22527,RoboChargers - Cyan
12393,Pioneer Pi-Thons
12394,Pioneer Diamondbacks
12397,High Voltage Rattlers
12448,M.A.R.S. - Patriot Engineering
12453,Phoenix - Patriot Engineering
13265,Osiris
13269,Mustang MegaBytes
13512,Falcon ROBO-RANGERS
13523,Lady ROBO-RANGERS
13580,Tech Serpents
13581,Fang Gang
14675,Vikings
14676,AzTECHS
14679,Valkyries
17072,WLA Vernon Middle School: Robo-Scorpions 17072
17203,ATHENA
18260,RoboJags
18629,Collegiate GigaKnights
18630,Collegiate MegaKnights
22320,ROGUE-RANGERS Vengeance
6566,Circuit Breakers
9161,Overload
11030,Metal Jackets
13472,The Dork Side
13811,High Voltage
14445,Poseidons
16412,Triad Robotics
17658,Wildcat Robotics
18072,BCS Battery Acid
20325,Maximum Resistance
11000,Rowe-botic Warriors
11009,McHi Robodogs
11156,Kaizen Cardinals
11158,Deceptibots
11159,Raven Robotics
11455,Memorial Raiders
12373,Rowe-botic Problem
12375,Rowe-botic Clique
12395,Rattler Robotics
12401,Quantum Fusion - Patriot Engineering
12696,SupernoVa - Patriot Engineering
12713,Impulse
13108,Encrypted
13514,Big Bang Mission Eagle
13582,Optimus Primates
13586,Adders
13588,Rattlerbots
13590,Viperstrike
15205,Diamonds
15251,Hadron Mission Eagle
15655,Donna High School
16961,Venombots
17778,Cougar Trons
18627,Collegiate NanoKnights
18734,Mission Eagles1
19857,GigaBots
20420,Collegiate TeraKnights
20481,DHS T-STEM
20687,RCJH.CC- AutoCavs
20688,RCJH.CC- DeceptiCavs
20745,Edinburg North Robotics
21826,The Herculites
21934,JLHS Engineering and Robotics 1
21935,JLHS Engineering and Robotics 2
4902,Team Novabots
9923,Team AAA
11924,Martin Robots
12202,Gaga for Robots
12359,Sharp Sharks
13744,Enginerds
13833,Deep Space Dolphins
15654,Nanoknights
15930,Pirates
16029,Software Pirates
16251,Robo Pirates
17796,Caffeinated  Mechanics
15439,J-BOT-C
18672,Battalion B0TS
6282,Simi Valley Robotics
9247,Chromium Robotics
10006,Spudnik
10298,Brain Stormz
10673,Spudbots
13046,Riptide Robotics
16726,SavageSpud
19634,Royal Robotics
20381,Killer Instinct A
22037,Z Transformers
10276,Storm Troopers
11172,Static Discharge
11774,Palatka High School Robo-Panthers
14384,Patent Pending
14447,CyberVikings
15052,Space Engineers
16271,Flying Tigers
16465,Servo Stallions
17593,Mechanical Menaces
18145,Men in Black Jax
18317,Steel Eels
18385,SHIVA Atomatrons
19388,Metal Mavericks
19762,Electrical Mayhem
19803,A. Philip Randolph 1
19916,The Wolf Pack Robotics Club
20357,Tocoi Creek Los Toros Loco
20358,Tocoi Creek Robo Toros
20397, Flashes
20865,Atlantic Coast Gamma Rays
22126,Bubble Bot Computing
22127,Mischievous Mechanics
22128,BFBI
22158,Tocoi Creek Thunder Chickens
22238,Screw It
8796,Clay 
8797,Oakleaf High School
8798,Aluminati Industries
8799,Robo Tigers
9214,R²
10284,Team R.O.B.O.T. (Really Obsessed Builders Of Tomorrow)
10583,The Robotic Gladiators
10584,KH Roba Fett
10768,Middleburg High School
13675,Talon Techs
4327,Silver Titans
7482,Axel-otls
8678,BATteries
9785,Cronos
10458,EVE Robotics FTC
11127,Whitefield Robotics
12995,Monkey Wrench Robotics
14750,ATOM
20172,Prometheus
21915,SMA Bobcats
4221,Smíða Syndicate
15500,Pixelate Gold
17694,FTC#17694 The Norse Awakens 
18389,"Mary Persons HS1 - ""Serverous"""
19917,Hardaway Robotics
1002,CircuitRunners Robotics - Surge
9686,Raiders of the ARC- Black
10219,Batteries Not Included
11347,CircuitRunners Robotics - Blackout
14165,Pebblebrook OG Team
15173,Robotic Eagles
17456,Atlantis
18009,AGS Eye of the Storm
19571,The Robo Brigade
19987,Black Screen of Death
21183,Walton Robotics - RED
21184,Walton Robotics - Blue
22,100 Scholars
112,RoboKnights Team 112
525,Success
4232,Energizer Bunnies
6989,Spartans
12687,The Screwdrivers
12689,The Sparks
12694,Autopilot
14100,High Voltage
14101,GigaBots
14116,Walker - Information Overload
14468,Dragons
14470,Cascade Robotics
14471,Narly Narwhals
14821,Team Rocket
15156,Botters Bots Club
15290,RoboKnights 15290
15292,RoboKnights Team 15292
16282,Bot Bytes the Rust
16344,Walker - Bob The Builder
16345,Walker - Uncommon Sense
16346,Walker - The Notorious B.O.T.
16631,The Preppy Ponies
16632,RackenPigeons
16633,Bots in Black
16838,Walker - NerdZ
16906,Cristo Rey Flames II - Kingsfield
18520,CKSROBOTICS
18553,Trash Pandas
18554,Lilac Leopards
18556,The Outlets
18557,The Operators
18560,Warbotics - 1655
19899,Walker - Information Overload[2]
19998,Señor Gato 
21628,CKSROBOTICS2
22023,System Overload Surgeons
6175,License To Shred
6962,Pokébolts
7438,Hot Spot Robotics
8740,'Iobotics
8741,'Iobotics
8898,'Iobotics
15076,'Iobotics
15236,Mid-Pacific Owl Robotics
16374,M.E.A.F.
17063,Hot Shot Robotics
20060,Explosive Aioli
20061,Omega 2
20062,Defused Kittens
20063,Punahou WF 1
20064,Wolfe­schlegel­stein­hausen­berger­dorff
20065,Punahou WF 3
20066,High Explosives Experts
20423,Obsidian Robotics
367,Salad
5062,The Four Horsemen
8588,Finger Puppet Mafia
8672,UBett
10082,Mechanicats
12745,Metroid
15055,Question Mark
18482,Mechanical Soup
20349,Chaotic Good
6600,Ballen Pretzels Central Lyon
6638,Gamma Shift
7229,bzBots
7258,Epsilon Robotics
7259,Void Robotics
7841,Ballen Pretzels 2
7924,Red Toques
8807,Molten Sprockets
9978,Avengers Tech
19394,Dutch Bots
19685,Cedar Bots
19686,Cedar Bots 2
19687,Cedar Bots 3
19978,Wolverines
21900,MOC-atronics
21903,Analogue Clogs
3609,Polar Technics
6103,Radiant Rivals
6340,Tech Titans
6666,Quad Six
7823,Roadrunner Robotics
10198,G.L.O.W.
14172,Disco Duckbots
14568,Norwalk RoboWarriors
16651,Galactic Robo Geese 
18200,MSTM Techno Devils
18397,Aztechs
14033,Robo Ravens
8142,Mountie Redbot
9297,Tractor Technicians in Training (Red)
12362,Tractor Technicians in Training (Blue)
13666,Tractor Technicians in Training (Orange)
13667,Tractor Technicians in Training (Yellow)
14018,Mountie Blackbot
15119,Area 51
15120,Team AI
15191,Tractor Technicians in Training (Gray)
15411,Tractor Technicians in Training (Purple)
21491,LMS HackerHawks
7689,Clarkston Chicken Bots
8531,GA Bots
8492,Titanium Trojans
8511,Greenhillls School Lawnmowers I
9895,Greenhills School Lawnmowers II
10644,CyBugs
10645,Hornet Hackers
10721,Vikings
11193,The Flying Dutchbots
11617,Chelsea Glitch
11729,Chelsea Crash
15555,S.W.A.R.M.
17039,THOR
19382,Mimir
19383,Freya
21859,Sparks & Duct Tape
7802,Challenge Accepted
8690,Twisted Circuits
11279,Pure Imagination
21740,Bull Dogs 01
731,Wannabee Strange
2827,Artificial Stupidity
2901,Purple Gears
3587,Unparalleled Processing
6078,Cut the Red Wire
10195,Night Owls
11588,Carpe Diem
13883,The Razzle Dazzle of Fantazzmagazzles
19921,Space Invaders
20708,Nano Trojans
3415,Lancers
3774,Hive Voltage
4890,AArcHive
5573,Payne Bots 5573
8405,Millburn Robotics
10553,RaidX
10582,Emerald Knights
10785,Highlanders
10874,LIONS
11180,Beaks n Bolts 
16557,Honey K-Ohms 
16953,FIRE
18051,Robotic Llamas
207,Critical Mass
247,Reboot
248,Fatal Error
4215,Hypnotic Robotics
7026,JDroids
7251,Comets
10603,WOOD-CHIPS
11456,Blair Academy
13048,Absolute Zero
13103,Ironmen Omega
13105,Ironmen Omicron
13293,PRowlers
13663,Quantum Smashers
