Link,Name,Location,Start,End
USMIRHQ,MI Rochester Hills FTC Qualifier,USA,2022-11-11 00:00:00,2022-11-12 00:00:00
USMISCM3,MI South Central Meet 4,USA,2022-11-10 00:00:00,2022-11-10 00:00:00
USMIOCM4,MI OCCRA Meet 4,USA,2022-11-10 00:00:00,2022-11-10 00:00:00
USMIAHQ,MI Avondale FTC Qualifier,USA,2022-11-11 00:00:00,2022-11-12 00:00:00
USMIWCM4,MI Metro Detroit Meet 3,USA,2022-11-10 00:00:00,2022-11-10 00:00:00
USMISCM4,MI South Central Meet 6,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USMILAQ,MI Lakeview FTC Qualifier,USA,2022-11-11 00:00:00,2022-11-12 00:00:00
USMISCM8,MI South Central Meet 5,USA,2022-11-11 00:00:00,2022-11-11 00:00:00
USMIKIQ,MI Kingsford FTC Qualifier,USA,2022-11-11 00:00:00,2022-11-12 00:00:00
USMINBQ,MI North Branch FTC Qualifier,USA,2022-11-11 00:00:00,2022-11-12 00:00:00
USMNCM2,MN FTC Cass Lake League Meet 2,USA,2022-11-10 00:00:00,2022-11-10 00:00:00
USMNEAQ,MN FTC Eagan Sat. Nov. 12,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USMOKSSTLSM5,MOKS-MO Oakville AM,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USMOKSSTLSM6,MOKS-MO Oakville PM,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USMOKSSPS,MOKS-MO Kickapoo Scrimmage,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USMTEHQ,MT East Helena Qualifier,USA,2022-11-11 00:00:00,2022-11-12 00:00:00
USIAMAM8,IA-NE Magnetic_Meet_2022-11-12,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USNJSOM2,NJ 1112-P1  Southern League Meet (Saturday),USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USNJNEM2,NJ 1113-P1  Northeast Edge League (Sunday),USA,2022-11-13 00:00:00,2022-11-13 00:00:00
USOHCIS,OH Summit Country Day School Scrimmage,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USOHCOHLM2,OH Central Ohio League Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USORSOM1,OR SOAR League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USORRCM1,OR Rose City League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USORSFM1,OR Silicon Forest League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USPAKSS,PA UCFSD FTC Scrimmage,USA,2022-11-13 00:00:00,2022-11-13 00:00:00
USSCCHS,SC Lowcountry Scrimmage 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXNOULM1,TX-North U-League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEKWM1,TX-Central Kwolek Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCENSAM2,TX-Central North San Field Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXWPMDM1,TX-W&P Midland League Meet #1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXWPAMM1,TX-W&P Amarillo League Meet #1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEXSTM6,TX-Central X-STREAM A Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEOH90M1,TX- Central Old Highway 90 Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEAUS,TX-Central Vandegrift HS Scrimmage,USA,2022-11-09 00:00:00,2022-11-09 00:00:00
USTXNOMLM1,TX-North M-League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEXSTM5,TX-Central X-STREAM B Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXNOCLM2,TX-North C-League Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXSOHAM2,TX-South Hawking Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEGMM6,TX-Central Diamonds Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXSOCUM2,TX-South Curie Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXNONLM2,TX-North N-League Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXNOTLM1,TX-North T-League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCENSAM1,TX-Central Hill Country Field Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEGCM6,TX-Central Sylvia Earle Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXNOFLM1,TX-North F-League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEGCM5,TX-Central Daphne Koller Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXWPLAM1,TX-W&P Lubbock-A League Meet #1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXCEGMM5,TX-Central Emeralds Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USTXWPLBM1,TX-W&P Lubbock-B League Meet #1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USWAKNM1,WA Knuth League Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
AUWOQ,AU Wollongong Qualifier,Australia,2022-11-20 00:00:00,2022-11-20 00:00:00
CAABABSAM1B,AB Southern Alberta Round 1B,Canada,2022-11-18 00:00:00,2022-11-19 00:00:00
CAABABSAM1A,AB Southern Alberta Round 1A,Canada,2022-11-18 00:00:00,2022-11-19 00:00:00
CAONAUQ,ON Aurora Qualifier,Canada,2022-11-19 00:00:00,2022-11-19 00:00:00
USAKAKSCLT,AK Southcentral Alaska League Tournament,USA,2022-11-18 00:00:00,2022-11-19 00:00:00
USAZPHQ,AZ Petrified Wood - Phoenix Qualifier,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USAZGIQ,AZ Roadrunner - Gilbert Qualifier,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCANOPNM1,CA-NorCal Peninsula League Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCASDSDGAM1,"CA- San Diego Gauss Meet #1, Francis Parker",USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USCALADM1,CA-SoCal League D - Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCANOSBM1A,CA-NorCal South Bay Metro League Meet 1a,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCASDSDEUM1,"CA- San Diego Euclid Meet #1, Francis Parker",USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USCASDSDDEM1,"CA- San Diego Descartes Meet #1, Francis Parker",USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCASDSDTUM1,"CA- San Diego Turing Meet #1, Francis Parker",USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCANONEM1,CA-NorCal North East League Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCALAORS,CA-SoCal League O1 - Meet 0,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCALALAS2,CA-SoCal League A2 - Meet 0,USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USCANOSBM1B,CA-NorCal South Bay Metro League Meet 1b,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USCOMOS,CO Monumental Impact,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
